TIME,BTCBUSD
2021-03-03 00:15:15,48214.55
2021-03-03 00:15:16,48215.18
2021-03-03 00:15:17,48229.99
2021-03-03 00:15:18,48229.41
2021-03-03 00:15:19,48229.4
2021-03-03 00:15:20,48215.9
2021-03-03 00:15:21,48225.1
2021-03-03 00:15:22,48225.1
2021-03-03 00:15:23,48224.9
2021-03-03 00:15:24,48219.49
2021-03-03 00:15:25,48218.24
2021-03-03 00:15:26,48218.24
2021-03-03 00:15:27,48208.39
2021-03-03 00:15:28,48208.39
2021-03-03 00:15:29,48211.56
2021-03-03 00:15:30,48226.92
2021-03-03 00:15:31,48229.45
2021-03-03 00:15:32,48235.38
2021-03-03 00:15:33,48235.37
2021-03-03 00:15:34,48230.99
2021-03-03 00:15:35,48235.3
2021-03-03 00:15:36,48230.94
2021-03-03 00:15:37,48230.94
2021-03-03 00:15:38,48225.77
2021-03-03 00:15:39,48225.77
2021-03-03 00:15:40,48225.76
2021-03-03 00:15:41,48225.77
2021-03-03 00:15:42,48225.77
2021-03-03 00:15:43,48225.77
2021-03-03 00:15:44,48225.77
2021-03-03 00:15:45,48225.77
2021-03-03 00:15:46,48225.06
2021-03-03 00:15:47,48225.06
2021-03-03 00:15:48,48225.06
2021-03-03 00:15:49,48232.33
2021-03-03 00:15:50,48232.33
2021-03-03 00:15:51,48228.7
2021-03-03 00:15:52,48225.78
2021-03-03 00:15:53,48225.79
2021-03-03 00:15:54,48225.79
2021-03-03 00:15:55,48225.78
2021-03-03 00:15:56,48225.77
2021-03-03 00:15:57,48225.77
2021-03-03 00:15:58,48227.95
2021-03-03 00:15:59,48225.89
2021-03-03 00:16:00,48225.77
2021-03-03 00:16:01,48225.77
2021-03-03 00:16:02,48225.04
2021-03-03 00:16:03,48225.04
2021-03-03 00:16:04,48221.72
2021-03-03 00:16:05,48221.72
2021-03-03 00:16:06,48221.72
2021-03-03 00:16:07,48221.72
2021-03-03 00:16:08,48221.72
2021-03-03 00:16:09,48225.26
2021-03-03 00:16:10,48221.71
2021-03-03 00:16:11,48221.71
2021-03-03 00:16:12,48223.94
2021-03-03 00:16:13,48221.99
2021-03-03 00:16:14,48224.66
2021-03-03 00:16:15,48221.72
2021-03-03 00:16:16,48221.72
2021-03-03 00:16:17,48223.9
2021-03-03 00:16:18,48242.31
2021-03-03 00:16:19,48242.31
2021-03-03 00:16:20,48249.51
2021-03-03 00:16:21,48242.32
2021-03-03 00:16:22,48242.32
2021-03-03 00:16:23,48242.31
2021-03-03 00:16:24,48229.44
2021-03-03 00:16:25,48221.73
2021-03-03 00:16:26,48221.72
2021-03-03 00:16:27,48221.72
2021-03-03 00:16:28,48220.01
2021-03-03 00:16:29,48220.01
2021-03-03 00:16:30,48220.01
2021-03-03 00:16:31,48219.99
2021-03-03 00:16:32,48219.99
2021-03-03 00:16:33,48219.99
2021-03-03 00:16:34,48208.0
2021-03-03 00:16:35,48199.33
2021-03-03 00:16:36,48197.43
2021-03-03 00:16:37,48194.59
2021-03-03 00:16:38,48194.59
2021-03-03 00:16:39,48194.59
2021-03-03 00:16:40,48194.59
2021-03-03 00:16:41,48174.18
2021-03-03 00:16:42,48178.28
2021-03-03 00:16:43,48178.28
2021-03-03 00:16:44,48180.69
2021-03-03 00:16:45,48180.69
2021-03-03 00:16:46,48168.81
2021-03-03 00:16:47,48168.79
2021-03-03 00:16:48,48166.3
2021-03-03 00:16:49,48163.72
2021-03-03 00:16:50,48173.83
2021-03-03 00:16:51,48173.83
2021-03-03 00:16:52,48168.11
2021-03-03 00:16:53,48168.09
2021-03-03 00:16:54,48160.61
2021-03-03 00:16:55,48159.61
2021-03-03 00:16:56,48153.11
2021-03-03 00:16:57,48153.11
2021-03-03 00:16:58,48148.11
2021-03-03 00:16:59,48146.06
2021-03-03 00:17:00,48142.85
2021-03-03 00:17:01,48140.88
2021-03-03 00:17:02,48140.88
2021-03-03 00:17:03,48140.99
2021-03-03 00:17:04,48141.01
2021-03-03 00:17:05,48141.01
2021-03-03 00:17:06,48145.06
2021-03-03 00:17:07,48146.99
2021-03-03 00:17:08,48146.06
2021-03-03 00:17:09,48146.72
2021-03-03 00:17:10,48140.5
2021-03-03 00:17:11,48146.99
2021-03-03 00:17:12,48146.99
2021-03-03 00:17:13,48168.98
2021-03-03 00:17:14,48179.87
2021-03-03 00:17:15,48179.61
2021-03-03 00:17:16,48179.61
2021-03-03 00:17:17,48181.36
2021-03-03 00:17:18,48181.34
2021-03-03 00:17:19,48181.33
2021-03-03 00:17:20,48186.16
2021-03-03 00:17:21,48194.21
2021-03-03 00:17:22,48186.82
2021-03-03 00:17:23,48188.76
2021-03-03 00:17:24,48188.77
